Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365941	25.0	6	0.121	1711166632.419	68.0	408.0	32.3	47.7	286.3	11.452	0.041	-82.534	79.014	609.529	2024	3	23	4	3	52
365944	25.0	1	0.02	1711166696.419	6.6	6.6	6.6	4.6	4.6	0.184	0.001	-78.296	75.432	609.295	2024	3	23	4	4	56
365980	25.0	4	0.081	1711167465.42	25.7	102.9	18.6	18.0	72.2	2.888	0.01	-70.386	27.446	610.197	2024	3	23	4	17	45
365983	25.0	2	0.04	1711167528.52	24.2	48.4	17.2	17.0	34.0	1.36	0.005	-70.372	23.737	610.472	2024	3	23	4	18	48
365986	25.0	4	0.081	1711167593.42	36.8	147.1	16.0	25.8	103.2	4.128	0.015	-70.372	20.027	610.767	2024	3	23	4	19	53
365989	25.0	3	0.061	1711167657.42	48.1	144.3	27.7	33.8	101.3	4.052	0.015	-70.385	16.317	611.068	2024	3	23	4	20	57
366023	0.243	4	8.314	1711168425.419	81.8	327.3	50.1	57.4	229.7	945.267	3.403	-70.606	-31.887	615.071	2024	3	23	4	33	45
366064	22.8	12	0.266	1711169385.419	24.7	296.3	19.0	17.3	207.9	9.118	0.033	34.049	-86.45	620.281	2024	3	23	4	49	45
366067	25.0	10	0.202	1711169449.419	42.2	421.9	23.2	29.6	296.1	11.844	0.043	69.333	-84.034	620.662	2024	3	23	4	50	49
366070	25.0	17	0.343	1711169513.419	41.6	707.7	30.5	29.2	496.7	19.868	0.072	81.988	-80.729	621.054	2024	3	23	4	51	53
366073	25.0	11	0.222	1711169577.419	41.7	458.8	28.5	29.3	322.0	12.88	0.046	87.754	-77.206	621.453	2024	3	23	4	52	57
366076	25.0	11	0.222	1711169640.719	46.3	509.6	29.3	32.5	357.6	14.304	0.051	90.932	-73.605	621.84	2024	3	23	4	54	0
366108	25.0	3	0.061	1711170345.419	17.8	53.6	15.2	12.5	37.6	1.504	0.005	97.415	-29.472	625.222	2024	3	23	5	5	45
366111	25.0	3	0.061	1711170409.419	36.7	110.0	28.7	25.7	77.2	3.088	0.011	97.437	-25.779	625.286	2024	3	23	5	6	49
366114	25.0	4	0.081	1711170473.419	72.8	291.2	28.8	51.1	204.4	8.176	0.029	97.442	-22.085	625.311	2024	3	23	5	7	53
366117	25.0	1	0.02	1711170537.419	77.6	77.6	77.6	54.5	54.5	2.18	0.008	97.435	-18.391	625.275	2024	3	23	5	8	57
366120	25.0	1	0.02	1711170601.419	82.9	82.9	27.6	58.2	58.2	2.328	0.008	97.418	-14.696	625.194	2024	3	23	5	10	1
