Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365343	21.157	13	0.31	1711154150.419	255.8	3325.3	27.9	179.5	2333.7	110.304	0.397	170.864	48.828	616.881	2024	3	23	0	35	50
365346	25.0	20	0.404	1711154214.419	530.6	10611.3	27.2	372.4	7447.1	297.884	1.072	171.171	52.768	616.153	2024	3	23	0	36	54
365349	25.0	15	0.303	1711154278.419	179.2	2688.2	32.0	125.8	1886.6	75.464	0.272	171.592	56.704	615.434	2024	3	23	0	37	58
365352	25.0	38	0.768	1711154342.419	135.0	5129.2	25.5	94.7	3599.7	143.988	0.518	172.174	60.636	614.735	2024	3	23	0	39	2
365357	25.0	154	3.111	1711154470.419	91.4	14069.7	25.4	64.1	9874.2	394.968	1.422	174.178	68.477	613.394	2024	3	23	0	41	10
365360	25.0	48	0.97	1711154534.42	187.4	8997.5	26.1	131.6	6314.5	252.58	0.909	175.972	72.375	612.775	2024	3	23	0	42	14
365363	25.0	26	0.525	1711154598.42	298.9	7770.3	31.2	209.7	5453.2	218.128	0.785	178.888	76.24	612.195	2024	3	23	0	43	18
365366	25.0	11	0.222	1711154662.421	170.3	1873.3	33.4	119.5	1314.7	52.588	0.189	-175.812	80.035	611.656	2024	3	23	0	44	22
365369	25.0	8	0.162	1711154726.421	404.1	3233.1	40.0	283.6	2269.0	90.76	0.327	-164.013	83.627	611.155	2024	3	23	0	45	26
365381	25.0	23	0.465	1711154982.419	309.9	7126.7	22.8	217.5	5001.6	200.064	0.72	-33.045	78.523	609.651	2024	3	23	0	49	42
365384	25.0	12	0.242	1711155046.419	400.9	4811.1	30.6	281.4	3376.5	135.06	0.486	-29.14	74.931	609.436	2024	3	23	0	50	46
365387	25.0	23	0.465	1711155110.419	421.7	9698.1	27.2	295.9	6806.2	272.248	0.98	-26.814	71.292	609.273	2024	3	23	0	51	50
365390	25.0	11	0.222	1711155174.419	194.9	2144.1	22.9	136.8	1504.7	60.188	0.217	-25.305	67.629	609.161	2024	3	23	0	52	54
365393	25.0	25	0.505	1711155239.519	462.5	11563.0	29.0	324.6	8115.0	324.6	1.169	-24.271	63.951	609.085	2024	3	23	0	53	59
365426	25.0	5	0.101	1711155942.419	1451.3	7256.6	28.7	1018.5	5092.7	203.708	0.733	-21.649	19.515	610.942	2024	3	23	1	5	42
365429	25.0	5	0.101	1711156006.419	452.5	2262.7	34.7	317.6	1588.0	63.52	0.229	-21.663	15.805	611.23	2024	3	23	1	6	46
365432	25.0	4	0.081	1711156070.419	115.3	461.2	35.1	80.9	323.7	12.948	0.047	-21.686	12.095	611.521	2024	3	23	1	7	50
