Time (unixtime),Longitude (deg),Latitude (deg),Altitude (km)
1711199089.419000,-25.318000,-52.898000,623.888000
1711199153.419000,-25.025000,-49.213000,624.181000
1711199281.419000,-24.650000,-41.837000,624.671000
1711199985.419000,-24.542000,2.494000,624.010000
1711200049.419000,-24.578000,6.192000,623.625000
1711200113.420000,-24.610000,9.890000,623.200000
1711200177.419000,-24.637000,13.588000,622.721000
1711200241.419000,-24.657000,17.286000,622.208000
1711200945.419000,-22.541000,61.627000,614.277000
1711201009.419000,-21.711000,65.306000,613.627000
1711201073.419000,-20.530000,68.975000,613.010000
1711201137.419000,-18.777000,72.628000,612.416000
1711201201.419000,-16.002000,76.251000,611.852000
1711230146.420000,-143.286000,66.134000,613.442000
1711230210.421000,-141.896000,70.044000,612.787000
1711230274.421000,-139.736000,73.932000,612.163000
1711230338.421000,-136.088000,77.776000,611.575000
1711230466.420000,-111.417000,84.916000,610.547000
