Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
371007	25.0	17	0.3434343434343434	1711303602.419	5429.4	92299.1	69.1	3810.4	64776.0	2591.04	9.328	-108.463	-72.091	622.707
371010	25.0	13	0.26262626262626265	1711303666.42	3246.4	42203.8	74.3	2278.4	29618.9	1184.756	4.265	-106.817	-68.446	623.093
371013	10.992	1	0.04594709834884507	1711303730.42	488.2	488.2	37.6	342.6	342.6	31.168	0.112	-105.699	-64.786	623.479
371057	25.0	1	0.020202020202020204	1711304690.419	1212.8	1212.8	57.8	851.1	851.1	34.044	0.123	-102.972	-5.774	625.149
371096	25.0	1	0.020202020202020204	1711305523.419	365.1	365.1	52.2	256.2	256.2	10.248	0.037	-102.705	45.989	617.094
371099	25.0	4	0.08080808080808081	1711305587.419	4021.6	16086.3	74.5	2822.4	11289.5	451.58	1.626	-102.478	49.684	616.344
371102	19.747	18	0.460369123963594	1711305651.419	2924.6	52643.6	75.6	2052.5	36945.6	1870.947	6.735	-102.173	53.377	615.609
371105	25.0	22	0.4444444444444444	1711305715.5190003	2536.6	55804.9	68.3	1780.2	39164.2	1566.568	5.64	-101.762	57.067	614.879
371108	13.324	8	0.303242572831285	1711305779.419	3416.0	27327.9	70.7	2397.4	19178.9	1439.425	5.182	-101.204	60.753	614.165
371141	21.78	8	0.18550982738310562	1711306483.419	2662.2	21297.4	66.8	1868.3	14946.6	686.253	2.471	58.02	74.175	608.424
371144	25.0	13	0.26262626262626265	1711306547.4190004	2711.1	35244.6	63.5	1902.7	24734.9	989.396	3.562	60.137	70.529	608.259
371149	24.295	11	0.22867073700578536	1711306675.4190001	2309.7	25406.5	70.2	1620.9	17830.4	733.912	2.642	62.536	62.969	608.073
371152	25.0	13	0.26262626262626265	1711306739.4190004	1970.1	25610.7	68.3	1382.6	17973.7	718.948	2.588	63.25	59.034	608.064
371161	25.0	1	0.020202020202020204	1711306931.419	770.8	770.8	59.3	541.0	541.0	21.64	0.078	64.404	47.196	608.33
371170	25.0	1	0.020202020202020204	1711307123.419	1494.4	1494.4	62.3	1048.8	1048.8	41.952	0.151	64.836	35.335	608.98
