Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
369949	25.0	6	0.12121212121212122	1711281901.419	583.7	3502.2	26.8	409.6	2457.9	98.316	0.354	-5.731	24.814	621.007
369982	3.29	36	5.5263885051119095	1711282605.4200003	2351.4	84649.2	57.8	1650.2	59407.3	18056.93	65.005	-1.698	68.706	612.732
369985	5.207	45	4.364753740593955	1711282669.4210002	2618.7	117843.1	64.8	1837.8	82702.9	15883.023	57.179	0.144	72.603	612.079
369988	3.259	29	4.494159142824378	1711282733.4210005	1790.4	51921.9	54.8	1256.5	36439.1	11181.068	40.252	3.151	76.467	611.456
369994	7.6	58	3.8543328017012226	1711282861.4210002	3283.1	190420.9	69.2	2304.1	133638.5	17584.013	63.302	21.102	83.828	610.371
370000	5.674	47	4.183534321003479	1711282989.4210002	2069.1	97247.3	54.6	1452.1	68248.7	12028.322	43.302	117.365	85.709	609.487
370003	6.049	46	3.8406882513346385	1711283053.4200006	2663.4	122514.9	63.3	1869.2	85981.6	14214.184	51.171	141.273	82.627	609.143
370027	25.0	15	0.30303030303030304	1711283565.419	312.1	4681.4	21.1	219.0	3285.4	131.416	0.473	161.589	51.088	608.356
370030	23.855	14	0.2964035661583345	1711283629.419	132.5	1855.5	25.8	93.0	1302.2	54.588	0.197	161.843	47.385	608.483
370033	25.0	21	0.42424242424242425	1711283693.4199998	251.3	5277.6	25.6	176.4	3703.8	148.152	0.533	162.031	43.68	608.646
370036	25.0	9	0.18181818181818182	1711283757.419	1490.2	13412.0	37.3	1045.8	9412.6	376.504	1.355	162.168	39.974	608.843
370039	25.0	6	0.12121212121212122	1711283821.419	430.5	2583.2	28.4	302.2	1812.9	72.516	0.261	162.265	36.266	609.074
370072	25.0	4	0.08080808080808081	1711284525.419	403.6	1614.2	23.0	283.2	1132.9	45.316	0.163	162.172	-8.252	612.956
370075	25.0	3	0.06060606060606061	1711284589.42	371.7	1115.2	18.6	260.9	782.7	31.308	0.113	162.143	-11.961	613.304
370078	25.0	6	0.12121212121212122	1711284653.419	216.0	1295.8	22.4	151.6	909.4	36.376	0.131	162.12	-15.669	613.635
370081	25.0	6	0.12121212121212122	1711284717.419	405.2	2431.3	26.8	284.4	1706.3	68.252	0.246	162.105	-19.376	613.976
370084	25.0	8	0.16161616161616163	1711284781.419	299.2	2394.0	22.2	210.0	1680.1	67.204	0.242	162.101	-23.082	614.304
370105	25.0	118	2.3838383838383836	1711285229.4190001	290.9	34324.2	32.5	204.1	24088.9	963.556	3.469	162.957	-51.742	616.805
370108	5.744	53	4.6601108578824455	1711285293.4190004	2499.8	132487.9	58.7	1754.4	92980.8	16187.465	58.275	163.293	-55.228	617.119
370123	8.523	65	3.8517285965367627	1711285614.4189994	2426.2	157704.0	63.7	1702.7	110677.6	12985.756	46.749	169.392	-74.688	618.994
370126	9.814	63	3.242121644404098	1711285678.419	2734.7	172287.7	63.9	1919.2	120912.5	12320.41	44.353	173.135	-78.275	619.367
370162	25.0	55	1.1111111111111112	1711286382.419	244.3	13436.3	20.8	171.4	9429.7	377.188	1.358	-31.149	-56.689	623.986
